latitude,longitude
549987.829,440433.869
544017.881,443119.785
546085.257,442634.001
548794.721,442509.629
549535.086,442719.097
555983.17,411977.693
552004.873,409951.22
551939.453,420496.907
558726.409,421212.799
554777.885,417578.203
550903.803,419658.518
549100.695,440538.637
549076.973,441715.523
549592.746,440726.097
522119.755,444482.816
523743.427,446155.659
557583.548,430589.819
557994.465,428588.223
557778.989,427699.056
559111.619,427578.794
557209.47,438955.059
558384.398,439135.752
558685.969,435021.284
559583.416,439609.179
580694.302,429267.897
545270.14,437820.351
547009.383,423926.64
547132.581,435100.185
556440.125,439398.754
560039.953,439120.712
563398.68,433368.339
560434.43,439938.549
559153.747,436792.143
556218.65,438376.655
555234.086,437933.397
556869.873,440316.547
555907.428,439252.096
552908.401,431271.617
552390.404,432551.34
549925.524,433037.29
547518.408,433217.211
541651.544,434476.94
549602.802,429746.412
547741.429,425814.357
545032.106,428250.802
544202.578,430766.897
551403.281,424863.757
542181.467,429244.629
546053.692,433047.552
560423.048,419526.414
543412.401,438192.15
545114.937,438555.512
558176.552,415795.683
557079.738,429959.19
555226.041,429571.337
555731.365,429065.397
543227.13,441266.858
543175.096,442018.117
559929.901,420244.661
554164.922,418630.419
551983.901,424260.021
550697.314,424144.151
613049.523,419587.85
559158.496,414738.96
558425.054,414433.688
558567.353,430774.175
555137.162,436004.685
555675.428,430687.432
552360.26,430187.578
552674.131,427750.474
552097.478,426495.033
552500.563,425141.196
551574.814,423580.196
553379.073,438442.498
558640.636,437443.587
560460.319,435417.59
557520.861,441127.959
552583.523,441269.294
553665.189,441130.571
560923.932,421032.214
554563.878,436648.424
556132.226,437796.385
552201.269,433028.778
552337.439,437843.205
554422.124,432785.843
552850.882,431610.059
545695.038,436747.591
549912.177,434628.058
543893.995,433898.654
549610.012,427313.244
550596.885,426327.945
542353.296,426450.476
547688.831,442450.833
546817.7,435397.31
543224.349,440349.296
550054.729,439538.049
546739.798,438713.361
548577.416,434807.545
548112.561,435474.298
551227.239,434047.094
549489.21,433597.527
572897.371,433542.494
554622.213,429603.829
553979.924,429107.474
555714.076,428599.333
553016.644,425499.42
549992.191,441386.429
541265.455,442232.626
541884.289,444039.97
542094.575,443374.915
554540.484,419708.512
553050.883,418401.944
551103.744,418895.385
557974.54,439230.506
553732.746,415644.611
551900.493,414905.761
558205.587,411794.189
557630.229,431453.109
554379.855,431102.617
553642.573,426281.215
551399.072,426253.511
555928.24,425220.545
554026.736,437983.687
557324.986,440299.901
524526.072,427464.322
546159.255,436086.017
540520.934,411822.679
556796.234,436553.079
555426.727,431785.236
558899.633,431315.306
560779.597,420289.401
562981.293,418374.799
555653.226,440128.53
554474.14,437523.731
554686.777,435444.773
551127.316,431061.98
556559.98,430891.851
559581.04,432946.665
551134.139,432001.041
554207.759,436185.954
550827.12,437982.245
543501.754,431844.426
544557.741,437389.565
545220.301,431752.601
548850.91,432974.852
543644.608,426158.158
543413.435,429377.508
544898.054,421359.494
546789.943,439985.31
548019.768,436208.242
550597.315,433256.261
549486.698,431478.73
546510.415,434390.633
558653.194,429979.453
556959.333,428954.023
541682.996,440722.563
541200.964,443155.361
556662.141,427332.096
559417.01,417015.957
552413.422,419774.457
552001.648,417269.942
565709.413,435991.824
560246.398,428590.713
554329.594,427524.365
558395.31,435806.64
559721.992,440312.817
542562.764,416659.368
555620.929,427355.026
555098.999,426811.585
560144.67,427474.186
553043.821,439382.455
559418.653,438237.471
557459.06,435067.589
556851.654,435460.702
555626.107,434590.301
558765.737,439856.411
549624.884,414590.387
550065.826,418932.833
553135.455,440617.934
554717.698,439415.23
543729.155,429549.052
553675.637,433233.26
560943.234,436065.036
557420.271,437295.777
553201.199,435277.186
553533.881,436768.847
555296.778,436694.524
517883.723,453720.307
525104.571,428429.548
524567.231,428180.94
558977.107,420527.66
540806.729,444777.023
564719.44,436220.136
564390.191,435271.267
566137.686,436653.309
565333.703,420166.15
565708.572,427278.024
566382.514,428646.058
568166.455,434333.753
520045.203,449022.441
519973.167,449511.12
519950.779,449915.807
518389.129,455317.035
558431.12,430399.008
558925.165,439149.334
559028.535,438960.388
562402.852,422702.003
566342.447,435956.308
564853.835,437063.777
566679.862,430289.796
565393.839,421191.053
573485.293,415946.615
579393.68,403557.19
554264.649,440991.17
555930.926,429694.55
554972.638,429032.696
554926.495,430878.14
554410.709,440659.077
561528.979,421853.097
562981.673,426665.751
562275.996,433534.59
516057.421,427160.47
514591.968,429350.775
514902.966,428487.544
563241.803,393781.258
568030.511,392273.455
564495.201,392983.568
563719.912,392203.514
561761.369,417745.943
562154.468,420367.359
561815.515,428197.073
560686.369,431659.351
563762.938,437008.557
528109.416,420759.519
619327.582,411006.832
543424.002,423367.083
544988.211,420439.132
545557.304,437615.781
548445.536,440567.899
564775.112,431361.351
564594.902,432814.212
565553.368,433042.883
561796.976,437941.935
564371.158,432093.066
528077.519,420996.087
528769.921,420813.974
561111.601,419928.324
561648.503,421048.652
564863.159,438038.127
565195.233,436511.873
565704.968,436603.446
517882.328,471349.139
518875.87,394876.982
519859.692,441431.032
519594.06,443888.367
518334.289,445455.371
551559.543,409250.424
518532.067,465472.247
519086.111,466740.489
519417.167,467283.299
519439.592,470680.764
555434.122,440536.219
516876.036,421070.264
561820.646,426434.249
561982.731,436287.218
562397.82,428495.469
565421.774,437849.404
562367.299,434347.47
565994.902,437986.548
551389.685,412812.989
551876.774,427228.885
552311.885,426963.564
553080.937,410165.362
556469.002,431752.071
556531.079,441048.02
556612.67,430194.245
556260.768,429570.506
556602.761,429410.141
554885.195,440293.047
563108.071,425336.55
561610.011,423250.743
513873.085,428512.167
516350.285,438064.786
515314.76,445906.52
515176.811,459560.129
515213.194,460304.309
556308.96,432789.845
559197.469,434806.662
557947.794,432928.036
546900.959,431553.922
562983.612,436232.289
560968.794,422789.999
562489.493,421572.197
561528.676,429980.044
560824.65,423699.589
513603.747,430258.493
